Span (m),Ultimate load (kN/m),Steel Fe-215,Steel Fe-415,Steel Fe-500,Concrete M15,Concrete M20,Concrete M25,Concrete M30,Steel area (cm2),Depth (cm),Width (cm),Cost per meter (â‚¦/m),Moment capacity (kNmm)
3,10,1,0,0,1,0,0,0,1.46464236377288,70.8632024405119,28.3452977988668,3274.39542198701,2112044.99632389
3,15,1,0,0,0,1,0,0,1.79402678986247,84.2473711263919,33.6989604477226,4056.42274960705,3082608.59379069
3,20,1,0,0,0,0,1,0,2.07277047750897,95.6302204894933,38.2521088794794,4717.31230446626,4047569.5077519
3,25,1,0,0,0,0,0,1,2.31955221075727,105.468287675901,42.187336232872,5307.39602836317,4998947.99246309
3,30,0,1,0,1,0,0,0,1.53974972705608,112.457803175331,44.9831390387441,3602.74260888817,5860847.63514626
3,35,0,1,0,0,1,0,0,1.67231309408481,116.850581036031,46.7402540797074,3972.02021390185,6621342.94120869
3,40,0,1,0,0,0,1,0,1.79283740565764,122.683809749354,49.0735490967362,4286.43628271877,7458488.42288924
3,45,0,1,0,0,0,0,1,1.90643404352618,128.285611202084,51.3142655646873,4581.85563926786,8297328.17615236
3,50,0,0,1,1,0,0,0,1.66458061616938,137.654329280709,55.0617578643819,3994.73205260581,9349561.06552775
3.5,10,0,0,1,0,1,0,0,1.00181815111912,67.5768432682549,27.0307412411881,2304.81892839484,13.019908642403
3.5,15,0,0,1,0,0,1,0,1.2281160695118,80.668984220378,32.267608216906,2850.63478755732,15.2103280798854
3.5,20,0,0,1,0,0,0,1,1.42041757610749,91.3477918940071,36.5391174981277,3320.4757864476,17.0176712261048
3.5,25,1,0,0,1,0,0,0,4.71081765576669,50,25,10100.6405213975,11.9909801779477
3.5,30,1,0,0,0,1,0,0,3.45140608379349,119.612320634255,47.8449524115981,7759.44042028378,22.334604731669
3.5,35,1,0,0,0,0,1,0,3.72884153271506,127.604733077961,51.0419229179685,8422.69910922465,23.6040750686252
3.5,40,1,0,0,0,0,0,1,3.98807320607452,135.076065668715,54.0304427985408,9043.0443342184,24.8336833397313
3.5,45,0,1,0,1,0,0,0,2.56039026996953,140.462058663939,56.1848488801065,5908.76362276886,26.4222140514803
3.5,50,0,1,0,0,1,0,0,5.23558557557846,50,25,11228.3236274386,13.1439461777369
4,10,0,1,0,0,0,1,0,1.57075129288931,70.0702762617934,28.0281249337183,3528.48016449442,13.4710068251653
4,15,0,1,0,0,0,0,1,1.92289128540349,84.2158460932776,33.6863485709212,4347.8435471789,15.8742455296714
4,20,0,0,1,1,0,0,0,1.84828286831634,97.928209426973,39.1713096545491,4191.76155255041,19.0891321825103
4,25,0,0,1,0,1,0,0,2.06853301856409,105.951144913453,42.3804720645033,4749.10860596237,20.1895982908284
4,30,0,0,1,0,0,1,0,2.26760000612,114.091344330964,45.636556790874,5237.72057131901,21.432435991195
4,35,0,0,1,0,0,0,1,2.45173609955928,121.574195126713,48.6297229564421,5691.06732265099,22.6275105715739
4,40,1,0,0,1,0,0,0,5.20187088485117,142.452842895552,56.9811570949309,11518.4162730406,27.0305533447667
4,45,1,0,0,0,1,0,0,5.51788261591636,147.805656241724,59.1222937002298,12326.3771596952,27.6494414191749
4,50,1,0,0,0,0,1,0,5.81608638071271,154.205980328533,61.6824284286077,13042.3520787799,28.582586146118
4.5,10,1,0,0,0,0,0,1,3.29155014675425,73.0944696388356,29.2378060757073,7194.58319406067,14.0213210620878
4.5,15,0,1,0,1,0,0,0,2.44069886431142,88.6307604600081,35.452309992779,5409.12999260753,17.7397621329715
4.5,20,0,1,0,0,1,0,0,2.81262094477529,99.5576157753204,39.8230733352287,6291.6085834738,19.2783050395637
4.5,25,0,1,0,0,0,1,0,3.14194453086446,109.621665982758,43.8486820651756,7063.54129466416,20.8187248527989
4.5,30,0,1,0,0,0,0,1,3.44124081814878,118.665681853347,47.4663146508158,7768.77220638218,22.2621640151855
4.5,35,0,0,1,1,0,0,0,3.09257947431672,129.860185223499,51.9441056377245,6979.95316725894,25.2163068399808
4.5,40,0,0,1,0,1,0,0,3.30916474976368,134.752414579182,53.9010013493945,7554.49699274428,25.661401721848
4.5,45,0,0,1,0,0,1,0,6.55317348199112,50,20,14010.2511950802,15.2486956851858
4.5,50,0,0,1,0,0,0,1,5.8713189224438,61.72182240632,24.6887331702494,12612.7672167348,14.8852115664902
5,10,1,0,0,1,0,0,0,4.09815888222326,75.735981503354,30.2944031572845,8873.29797468524,15.7617269962089
5,15,1,0,0,0,1,0,0,4.99144368608359,90.6756559165707,36.2702929384829,10864.2453724615,17.9293160335032
5,20,1,0,0,0,0,1,0,5.74868386392279,103.391812790362,41.3567547921905,12551.8225371621,19.8937514211086
5,25,1,0,0,0,0,0,1,7.94735515236159,62.5,25,17016.1379954304,13.7645309880124
5,30,0,1,0,1,0,0,0,4.25635604411139,124.773523858384,49.9094370093066,9420.51519806831,24.6641399529457
5,35,0,1,0,0,1,0,0,4.5916239041,131.529287498153,52.6117421682689,10251.3586721831,25.3487455629732
5,40,0,1,0,0,0,1,0,4.90503106011451,138.893932463688,55.5575901196775,10995.0155771062,26.337976931899
5,45,0,1,0,0,0,0,1,5.20120257595806,145.926816545132,58.3707659169234,11697.0984565338,27.3758316574292
5,50,0,0,1,1,0,0,0,4.5615745419656,156.249315050909,62.4997588431174,10241.0072558837,30.383876475171
5.5,10,0,0,1,0,1,0,0,2.47883947884158,73.5640172601985,29.425610667583,5460.14620727304,15.2290215054961
5.5,15,0,0,1,0,0,1,0,3.02346132496996,88.2293008094716,35.2917410277837,6693.29955204119,17.4836924884017
5.5,20,0,0,1,0,0,0,1,3.48471309126931,100.405159578035,40.1620870338973,7746.81204716812,19.4117175008578
5.5,25,1,0,0,1,0,0,0,7.81328263982046,118.481901566675,47.392793932381,16928.245865409,23.9083726775861
5.5,30,1,0,0,0,1,0,0,13.9705307604159,50,20,29727.4399467016,17.3154773804546
5.5,35,1,0,0,0,0,1,0,9.19726516715251,136.434181877657,54.5737095860438,20074.6465289444,26.1080785325609
5.5,40,1,0,0,0,0,0,1,9.82153008678619,144.820052913328,57.9280432174013,21481.1931539703,27.3507920242503
5.5,45,0,1,0,1,0,0,0,6.30603082135202,153.121969005965,61.2488257013415,13919.8219374534,30.2225629703796
5.5,50,0,1,0,0,1,0,0,6.63909853200684,157.763606848703,63.1054745864992,14776.3641379291,30.4152006987975
6,10,0,1,0,0,0,1,0,3.54935074547654,74.4736841167073,29.7894831956921,7741.63616842093,15.2690918745846
6,15,0,1,0,0,0,0,1,4.33028100272253,89.7319544525337,35.892792234718,9479.20755773256,17.7105820251907
6,20,0,0,1,1,0,0,0,4.17754112372985,105.059349002737,42.0237522247665,9159.70384588363,22.0431452105296
6,25,0,0,1,0,1,0,0,4.65093171640319,114.497905450399,45.7991824439216,10271.2711311751,22.99235260261
6,30,0,0,1,0,0,1,0,5.08333721692386,123.686966287987,49.4748125816632,11267.2741065539,24.1760969422066
6,35,0,0,1,0,0,0,1,5.48390139337256,132.202545351389,52.8810514985504,12192.3998916298,25.3901074969619
6,40,1,0,0,1,0,0,0,18.3422462973686,62.5,25,39018.6566522727,22.8860075459402
6,45,1,0,0,0,1,0,0,12.4309300386281,156.173631372525,62.4694831354406,27040.1412829317,30.4227936598183
6,50,1,0,0,0,0,1,0,13.081275693064,163.254452227407,65.3018163593724,28514.3786513326,31.2275260510086
6.5,10,1,0,0,0,0,0,1,6.90829722822182,75.8464114519488,30.3385710424399,14873.1585439702,15.4382808199378
6.5,15,0,1,0,1,0,0,0,5.14011747630279,93.5141523775578,37.4056763224989,11150.3225259265,20.4394714140503
6.5,20,0,1,0,0,1,0,0,5.89429033509189,105.272901100309,42.1091629192461,12854.054697753,21.688253640702
6.5,25,0,1,0,0,0,1,0,6.56630230042388,116.043891548601,46.4175752859023,14361.0361623993,23.0865845192939
6.5,30,0,1,0,0,0,0,1,7.17814354251556,125.830742700481,50.3323167525809,15737.9811713136,24.4818582761131
6.5,35,0,0,1,1,0,0,0,6.47510904173416,138.213263129803,55.2853347044486,14193.6867517309,28.5618031440534
6.5,40,0,0,1,0,1,0,0,6.89984744129121,144.385081530875,57.754068108937,15231.0845239897,28.7874720403169
6.5,45,0,0,1,0,0,1,0,7.30447430224533,151.337043221979,60.5348641795551,16174.4285331758,29.4834543333734
6.5,50,0,0,1,0,0,0,1,7.69107722897147,158.112656884134,63.245107385015,17073.6820184461,30.3274434656672
7,10,1,0,0,1,0,0,0,8.14747078257358,78.9546116644926,31.5818448555314,17467.538421072,18.3027488860319
7,15,1,0,0,0,1,0,0,9.86558622359186,94.0651447023249,37.626082912818,21211.939522444,20.0348455618222
7,20,1,0,0,0,0,1,0,11.328821146042,107.037613490899,42.8150596228348,24400.2016057771,21.7564508298044
7,25,1,0,0,0,0,0,1,12.6260090640935,118.526431971154,47.4105946322861,27234.9618461611,23.4080461254973
7,30,0,1,0,1,0,0,0,8.39974063861983,130.868061073306,52.3472334240927,18233.7361939066,27.7578118251706
7,35,0,1,0,0,1,0,0,9.0291012253569,138.386505418507,55.3546369922101,19702.42238287,28.0934871929341
7,40,0,1,0,0,0,1,0,9.62582549405164,146.260080026881,58.5040542996912,21055.4661011877,28.8781974748991
7,45,0,1,0,0,0,0,1,10.192419189367,153.839233800103,61.5357392061865,22339.6990113202,29.8150738041383
7,50,0,0,1,1,0,0,0,8.97174585962999,165.14381619899,66.0575708063599,19642.7379465445,33.9948149336152
7.5,10,0,0,1,0,1,0,0,4.65914820503022,77.1422057266929,30.8569057005187,10096.7968753484,17.4738947596951
7.5,15,0,0,1,0,0,1,0,5.65713723448266,92.2643830115532,36.9057670363206,12296.3504728577,19.5081116812015
7.5,20,0,0,1,0,0,0,1,9.354486948861,50,25,19966.4600881109,14.9472328787764
7.5,25,1,0,0,1,0,0,0,14.6695541486561,122.59976403515,49.039932312119,31480.384838546,26.7979641945842
7.5,30,1,0,0,0,1,0,0,15.9622968252997,131.777991590452,52.7112290012007,34353.1297111011,27.2925461703706
7.5,35,1,0,0,0,0,1,0,17.1760198235979,140.831218485968,56.3325139985642,37017.5451451199,28.2095501620213
7.5,40,1,0,0,0,0,0,1,18.3184551667202,149.440928545799,59.7764154345611,39527.0681044549,29.2782960047953
7.5,45,0,1,0,1,0,0,0,11.7971477737674,159.850188886161,63.9401168483519,25598.5345930239,33.5995071474477
7.5,50,0,1,0,0,1,0,0,12.3828812739322,165.190357717553,66.0761778007604,27007.7321425465,33.3891254375294
8,10,0,1,0,0,0,1,0,7.68923661732432,50,25,16433.7120104189,13.8697633190919
8,15,0,1,0,0,0,0,1,7.74573302640813,92.9046321476412,37.1618710457227,16735.497717787,19.4477671075499
8,20,0,0,1,1,0,0,0,10.470483088071,55.555480569792,22.222209715104,22312.9294650637,24.8830992230991
8,25,0,0,1,0,1,0,0,12.2803319762287,55.5555916614621,22.222254169269,26164.1514618711,23.114709225159
8,30,0,0,1,0,0,1,0,9.07478841715124,128.954529029848,51.5818412198077,19762.6389294508,26.5293503619028
8,35,0,0,1,0,0,0,1,9.77344073449691,137.830762665606,55.1323201578275,21325.6593453357,27.5801221008761
8,40,1,0,0,1,0,0,0,21.0667670669411,154.303328614667,61.7213673585565,45212.1795587064,33.1648891140483
8,45,1,0,0,0,1,0,0,22.2201995874168,160.928781128274,64.3715448784957,47824.7130669234,33.0340412081496
8,50,1,0,0,0,0,1,0,23.3456333548104,168.065119814983,67.226075513065,50310.1603243128,33.5050667285546
8.5,10,1,0,0,0,0,0,1,11.9199655277827,77.9198703288827,31.1679605771478,25505.3176993442,17.0494339398152
8.5,15,0,1,0,1,0,0,0,8.91744593449959,97.3908970442279,38.9563656443771,19172.5719016639,23.5630813584163
8.5,20,0,1,0,0,1,0,0,10.1712540641545,109.134802494429,43.6539361426796,21940.6546658906,24.2355627739509
8.5,25,0,1,0,0,0,1,0,11.2980012440658,119.994389929104,47.9977782904975,24415.0855110502,25.2946718096789
8.5,30,0,1,0,0,0,0,1,12.3281695609915,129.974842328793,51.9899558983425,26682.7593255201,26.4833245451224
8.5,35,0,0,1,1,0,0,0,11.1716234273085,143.736586847061,57.4946759793073,24178.4847434307,32.0245169103274
8.5,40,0,0,1,0,1,0,0,11.8637454582293,150.186358775225,60.0745669796466,25793.6656888267,31.7038169975879
8.5,45,0,0,1,0,0,1,0,12.5347250715703,157.314270055901,62.9257441241233,27307.3470330104,32.0671552547708
8.5,50,0,0,1,0,0,0,1,13.1804186340728,164.345716016424,65.7383116622758,28761.6969963061,32.7114233705911
9,10,1,0,0,1,0,0,0,13.7267317135879,82.202433432006,32.8809961826861,29304.9235295379,21.4310502737016
9,15,1,0,0,0,1,0,0,9.94161656454167,96.2118667904343,38.4847525712973,21384.0552118079,22.4190523830233
9,20,1,0,0,0,0,1,0,11.3753418191583,108.776181832389,43.5104875948363,24509.148658923,23.6961739735084
9,25,1,0,0,0,0,0,1,12.651516167914,119.984155186109,47.9936904398652,27298.766306414,25.042186873031
9,30,0,1,0,1,0,0,0,14.0358651928569,135.508362667858,54.203383643237,30204.0852692459,31.2063285251943
9,35,0,1,0,0,1,0,0,12.4794290575143,142.219248780204,56.8877238902642,27041.8180344356,30.7991334738307
9,40,0,1,0,0,0,1,0,13.2767829748439,149.958569613108,59.9834468280599,28822.020792268,31.1725589743632
9,45,0,1,0,0,0,0,1,14.0392720856718,157.518817517456,63.0075568163643,30523.688162345,31.8439215924244
9,50,0,0,1,1,0,0,0,14.948376166532,171.197152993093,68.4788968538214,32348.5511378746,37.7224194578791
